v2	Ix(M1:D)
Step Information: V1=0  (Step: 1/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-01	2.512180e-10
2.000000000000000e-01	2.710356e-10
3.000000000000000e-01	2.735524e-10
4.000000000000000e-01	2.741789e-10
5.000000000000000e-01	2.752590e-10
6.000000000000000e-01	2.763314e-10
7.000000000000000e-01	2.768481e-10
7.999999999999999e-01	2.773648e-10
8.999999999999999e-01	2.789917e-10
9.999999999999999e-01	2.795083e-10
1.100000000000000e+00	2.811352e-10
1.200000000000000e+00	2.816519e-10
1.300000000000000e+00	2.821686e-10
1.400000000000000e+00	2.826852e-10
1.500000000000000e+00	2.832019e-10
1.600000000000000e+00	2.837185e-10
1.700000000000000e+00	2.864557e-10
1.800000000000000e+00	2.869723e-10
1.900000000000001e+00	2.874890e-10
2.000000000000000e+00	2.880057e-10
2.100000000000001e+00	2.907428e-10
2.200000000000001e+00	2.912595e-10
2.300000000000001e+00	2.917761e-10
2.400000000000001e+00	2.922928e-10
2.500000000000001e+00	2.928094e-10
2.600000000000001e+00	2.933261e-10
2.700000000000001e+00	2.938428e-10
2.800000000000001e+00	2.943595e-10
2.900000000000001e+00	2.948761e-10
3.000000000000001e+00	2.953928e-10
3.100000000000001e+00	2.959095e-10
3.200000000000002e+00	2.964261e-10
3.300000000000002e+00	2.969428e-10
3.400000000000002e+00	3.019003e-10
3.500000000000002e+00	3.024170e-10
3.600000000000002e+00	3.029337e-10
3.700000000000002e+00	3.034503e-10
3.800000000000002e+00	3.039670e-10
3.900000000000002e+00	3.044837e-10
4.000000000000002e+00	3.094412e-10
4.100000000000001e+00	3.099579e-10
4.200000000000001e+00	3.104746e-10
4.300000000000001e+00	3.109912e-10
4.400000000000000e+00	3.115079e-10
4.500000000000000e+00	3.120246e-10
4.600000000000000e+00	3.125412e-10
4.699999999999999e+00	3.130579e-10
4.799999999999999e+00	3.135746e-10
4.899999999999999e+00	3.140912e-10
4.999999999999998e+00	3.146079e-10
5.099999999999998e+00	3.151246e-10
5.199999999999998e+00	3.156412e-10
5.299999999999997e+00	3.161579e-10
5.399999999999997e+00	3.166746e-10
5.499999999999996e+00	3.171912e-10
5.599999999999996e+00	3.177079e-10
5.699999999999996e+00	3.182246e-10
5.799999999999995e+00	3.187412e-10
5.899999999999995e+00	3.192579e-10
5.999999999999995e+00	3.197746e-10
6.099999999999994e+00	3.202912e-10
6.199999999999994e+00	3.208079e-10
6.299999999999994e+00	3.213246e-10
6.399999999999993e+00	3.218412e-10
6.499999999999993e+00	3.223579e-10
6.599999999999993e+00	3.228746e-10
6.699999999999992e+00	3.322730e-10
6.799999999999992e+00	3.327897e-10
6.899999999999991e+00	3.333064e-10
6.999999999999991e+00	3.338230e-10
7.099999999999991e+00	3.343397e-10
7.199999999999990e+00	3.348564e-10
7.299999999999990e+00	3.353730e-10
7.399999999999990e+00	3.358897e-10
7.499999999999989e+00	3.364063e-10
7.599999999999989e+00	3.369230e-10
7.699999999999989e+00	3.374397e-10
7.799999999999988e+00	3.379564e-10
7.899999999999988e+00	3.384730e-10
7.999999999999988e+00	3.389897e-10
8.099999999999987e+00	3.483881e-10
8.199999999999987e+00	3.489048e-10
8.299999999999986e+00	3.494215e-10
8.399999999999986e+00	3.499381e-10
8.499999999999986e+00	3.504548e-10
8.599999999999985e+00	3.509715e-10
8.699999999999985e+00	3.514881e-10
