v1	I(D1)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-02	1.472002e-14
2.000000000000000e-02	3.166791e-14
3.000000000000000e-02	5.189521e-14
4.000000000000000e-02	7.694982e-14
5.000000000000000e-02	1.091102e-13
6.000000000000000e-02	1.517304e-13
7.000000000000001e-02	2.097474e-13
8.000000000000000e-02	2.904285e-13
9.000000000000000e-02	4.044713e-13
9.999999999999999e-02	5.676225e-13
1.100000000000000e-01	8.030613e-13
1.200000000000000e-01	1.144908e-12
1.300000000000000e-01	1.643387e-12
1.400000000000000e-01	2.372429e-12
1.500000000000000e-01	3.440860e-12
1.600000000000000e-01	5.008874e-12
1.700000000000000e-01	7.312273e-12
1.800000000000000e-01	1.069816e-11
1.900000000000000e-01	1.567748e-11
2.000000000000000e-01	2.300232e-11
2.100000000000000e-01	3.377979e-11
2.200000000000001e-01	4.963953e-11
2.300000000000001e-01	7.298038e-11
2.400000000000001e-01	1.073334e-10
2.500000000000001e-01	1.578965e-10
2.600000000000001e-01	2.323207e-10
2.700000000000001e-01	3.418686e-10
2.800000000000001e-01	5.031187e-10
2.900000000000001e-01	7.404744e-10
3.000000000000001e-01	1.089858e-09
3.100000000000001e-01	1.604146e-09
3.200000000000001e-01	2.361175e-09
3.300000000000001e-01	3.475519e-09
3.400000000000001e-01	5.115830e-09
3.500000000000001e-01	7.530367e-09
3.600000000000002e-01	1.108457e-08
3.700000000000002e-01	1.631635e-08
3.800000000000002e-01	2.401753e-08
3.900000000000002e-01	3.535368e-08
4.000000000000002e-01	5.204049e-08
4.100000000000002e-01	7.660348e-08
4.200000000000002e-01	1.127602e-07
4.300000000000002e-01	1.659827e-07
4.400000000000002e-01	2.443259e-07
4.500000000000002e-01	3.596465e-07
4.600000000000002e-01	5.293969e-07
4.700000000000003e-01	7.792656e-07
4.800000000000003e-01	1.147064e-06
4.900000000000003e-01	1.688446e-06
5.000000000000002e-01	2.485319e-06
5.100000000000002e-01	3.658229e-06
5.200000000000002e-01	5.384562e-06
5.300000000000002e-01	7.925309e-06
5.400000000000003e-01	1.166439e-05
5.500000000000003e-01	1.716635e-05
5.600000000000003e-01	2.526100e-05
5.700000000000003e-01	3.716713e-05
5.800000000000003e-01	5.467308e-05
5.900000000000003e-01	8.039890e-05
6.000000000000003e-01	1.181746e-04
6.100000000000003e-01	1.735811e-04
6.200000000000003e-01	2.547116e-04
6.300000000000003e-01	3.732220e-04
6.400000000000003e-01	5.457317e-04
6.500000000000004e-01	7.955953e-04
6.600000000000004e-01	1.154959e-03
6.700000000000004e-01	1.666791e-03
6.800000000000004e-01	2.386216e-03
6.900000000000004e-01	3.380104e-03
7.000000000000004e-01	4.723664e-03
7.100000000000004e-01	6.493399e-03
7.200000000000004e-01	8.757262e-03
7.300000000000004e-01	1.156476e-02
7.400000000000004e-01	1.494047e-02
7.500000000000004e-01	1.888308e-02
7.600000000000005e-01	2.336953e-02
7.700000000000005e-01	2.836180e-02
7.800000000000005e-01	3.381396e-02
7.900000000000005e-01	3.967773e-02
8.000000000000005e-01	4.590630e-02
8.100000000000005e-01	5.245642e-02
8.200000000000005e-01	5.928934e-02
8.300000000000005e-01	6.637099e-02
8.400000000000005e-01	7.367174e-02
8.500000000000005e-01	8.116601e-02
8.600000000000005e-01	8.883177e-02
8.700000000000006e-01	9.665000e-02
8.800000000000006e-01	1.046044e-01
8.900000000000006e-01	1.126807e-01
9.000000000000006e-01	1.208668e-01
9.100000000000006e-01	1.291519e-01
9.200000000000006e-01	1.375268e-01
9.300000000000006e-01	1.459834e-01
9.400000000000006e-01	1.545144e-01
9.500000000000006e-01	1.631136e-01
9.600000000000006e-01	1.717753e-01
9.700000000000006e-01	1.804946e-01
9.800000000000006e-01	1.892671e-01
9.900000000000007e-01	1.980888e-01
1.000000000000001e+00	2.069561e-01
1.010000000000001e+00	2.158659e-01
1.020000000000001e+00	2.248153e-01
1.030000000000001e+00	2.338015e-01
1.040000000000001e+00	2.428223e-01
