Freq.	V(n003)
1.00000000000000e+00	(-4.32246345397173e-04dB,-5.77349038954762e-01°)
1.00230523807790e+00	(-4.34241404155113e-04dB,-5.78679878226898e-01°)
1.00461579027839e+00	(-4.36245670762743e-04dB,-5.80013784792425e-01°)
1.00693166885180e+00	(-4.38259187711062e-04dB,-5.81350765717972e-01°)
1.00925288607668e+00	(-4.40281997691728e-04dB,-5.82690828086426e-01°)
1.01157945425990e+00	(-4.42314143592239e-04dB,-5.84033978996976e-01°)
1.01391138573668e+00	(-4.44355668498823e-04dB,-5.85380225565144e-01°)
1.01624869287070e+00	(-4.46406615684869e-04dB,-5.86729574922827e-01°)
1.01859138805412e+00	(-4.48467028638893e-04dB,-5.88082034218330e-01°)
1.02093948370768e+00	(-4.50536951040430e-04dB,-5.89437610616409e-01°)
1.02329299228075e+00	(-4.52616426784144e-04dB,-5.90796311298306e-01°)
1.02565192625141e+00	(-4.54705499942219e-04dB,-5.92158143461785e-01°)
1.02801629812647e+00	(-4.56804214812575e-04dB,-5.93523114321173e-01°)
1.03038612044162e+00	(-4.58912615892835e-04dB,-5.94891231107396e-01°)
1.03276140576140e+00	(-4.61030747879361e-04dB,-5.96262501068018e-01°)
1.03514216667934e+00	(-4.63158655679787e-04dB,-5.97636931467279e-01°)
1.03752841581801e+00	(-4.65296384399523e-04dB,-5.99014529586134e-01°)
1.03992016582906e+00	(-4.67443979375508e-04dB,-6.00395302722288e-01°)
1.04231742939330e+00	(-4.69601486127027e-04dB,-6.01779258190238e-01°)
1.04472021922080e+00	(-4.71768950397181e-04dB,-6.03166403321312e-01°)
1.04712854805090e+00	(-4.73946418141312e-04dB,-6.04556745463702e-01°)
1.04954242865232e+00	(-4.76133935518328e-04dB,-6.05950291982511e-01°)
1.05196187382322e+00	(-4.78331548909028e-04dB,-6.07347050259784e-01°)
1.05438689639126e+00	(-4.80539304903559e-04dB,-6.08747027694551e-01°)
1.05681750921366e+00	(-4.82757250307213e-04dB,-6.10150231702865e-01°)
1.05925372517729e+00	(-4.84985432141383e-04dB,-6.11556669717841e-01°)
1.06169555719872e+00	(-4.87223897641641e-04dB,-6.12966349189696e-01°)
1.06414301822431e+00	(-4.89472694273166e-04dB,-6.14379277585786e-01°)
1.06659612123026e+00	(-4.91731869700851e-04dB,-6.15795462390647e-01°)
1.06905487922266e+00	(-4.94001471825949e-04dB,-6.17214911106033e-01°)
1.07151930523761e+00	(-4.96281548769678e-04dB,-6.18637631250959e-01°)
1.07398941234124e+00	(-4.98572148857797e-04dB,-6.20063630361736e-01°)
1.07646521362983e+00	(-5.00873320663032e-04dB,-6.21492915992013e-01°)
1.07894672222983e+00	(-5.03185112966510e-04dB,-6.22925495712814e-01°)
1.08143395129794e+00	(-5.05507574781861e-04dB,-6.24361377112585e-01°)
1.08392691402120e+00	(-5.07840755338833e-04dB,-6.25800567797226e-01°)
1.08642562361706e+00	(-5.10184704108358e-04dB,-6.27243075390132e-01°)
1.08893009333343e+00	(-5.12539470783274e-04dB,-6.28688907532239e-01°)
1.09144033644876e+00	(-5.14905105276389e-04dB,-6.30138071882059e-01°)
1.09395636627209e+00	(-5.17281657750384e-04dB,-6.31590576115720e-01°)
1.09647819614318e+00	(-5.19669178578272e-04dB,-6.33046427927009e-01°)
1.09900583943252e+00	(-5.22067718383901e-04dB,-6.34505635027411e-01°)
1.10153930954141e+00	(-5.24477328013029e-04dB,-6.35968205146151e-01°)
1.10407861990207e+00	(-5.26898058547784e-04dB,-6.37434146030233e-01°)
1.10662378397766e+00	(-5.29329961304739e-04dB,-6.38903465444479e-01°)
1.10917481526240e+00	(-5.31773087847454e-04dB,-6.40376171171575e-01°)
1.11173172728159e+00	(-5.34227489967183e-04dB,-6.41852271012106e-01°)
1.11429453359173e+00	(-5.36693219692521e-04dB,-6.43331772784604e-01°)
1.11686324778056e+00	(-5.39170329303874e-04dB,-6.44814684325581e-01°)
1.11943788346715e+00	(-5.41658871310308e-04dB,-6.46301013489577e-01°)
1.12201845430196e+00	(-5.44158898464989e-04dB,-6.47790768149196e-01°)
1.12460497396692e+00	(-5.46670463777713e-04dB,-6.49283956195151e-01°)
1.12719745617551e+00	(-5.49193620483087e-04dB,-6.50780585536305e-01°)
1.12979591467280e+00	(-5.51728422077176e-04dB,-6.52280664099711e-01°)
1.13240036323556e+00	(-5.54274922292427e-04dB,-6.53784199830656e-01°)
1.13501081567231e+00	(-5.56833175115035e-04dB,-6.55291200692698e-01°)
1.13762728582343e+00	(-5.59403234780116e-04dB,-6.56801674667714e-01°)
1.14024978756117e+00	(-5.61985155771712e-04dB,-6.58315629755937e-01°)
1.14287833478977e+00	(-5.64578992822790e-04dB,-6.59833073976004e-01°)
1.14551294144553e+00	(-5.67184800922960e-04dB,-6.61354015364988e-01°)
1.14815362149688e+00	(-5.69802635312689e-04dB,-6.62878461978451e-01°)
1.15080038894443e+00	(-5.72432551485230e-04dB,-6.64406421890481e-01°)
1.15345325782109e+00	(-5.75074605200125e-04dB,-6.65937903193733e-01°)
1.15611224219210e+00	(-5.77728852461992e-04dB,-6.67472913999477e-01°)
1.15877735615512e+00	(-5.80395349534989e-04dB,-6.69011462437634e-01°)
1.16144861384034e+00	(-5.83074152958246e-04dB,-6.70553556656823e-01°)
1.16412602941049e+00	(-5.85765319509221e-04dB,-6.72099204824404e-01°)
1.16680961706096e+00	(-5.88468906240346e-04dB,-6.73648415126517e-01°)
1.16949939101987e+00	(-5.91184970468420e-04dB,-6.75201195768131e-01°)
1.17219536554813e+00	(-5.93913569767863e-04dB,-6.76757554973081e-01°)
1.17489755493953e+00	(-5.96654761985179e-04dB,-6.78317500984114e-01°)
1.17760597352080e+00	(-5.99408605228349e-04dB,-6.79881042062933e-01°)
1.18032063565173e+00	(-6.02175157873586e-04dB,-6.81448186490240e-01°)
1.18304155572516e+00	(-6.04954478578837e-04dB,-6.83018942565777e-01°)
1.18576874816716e+00	(-6.07746626249064e-04dB,-6.84593318608373e-01°)
1.18850222743702e+00	(-6.10551660079644e-04dB,-6.86171322955986e-01°)
1.19124200802737e+00	(-6.13369639536120e-04dB,-6.87752963965748e-01°)
1.19398810446427e+00	(-6.16200624356127e-04dB,-6.89338250014005e-01°)
1.19674053130724e+00	(-6.19044674545541e-04dB,-6.90927189496366e-01°)
1.19949930314938e+00	(-6.21901850404515e-04dB,-6.92519790827745e-01°)
1.20226443461741e+00	(-6.24772212491799e-04dB,-6.94116062442404e-01°)
1.20503594037179e+00	(-6.27655821663317e-04dB,-6.95716012793999e-01°)
1.20781383510678e+00	(-6.30552739035522e-04dB,-6.97319650355622e-01°)
1.21059813355048e+00	(-6.33463026030724e-04dB,-6.98926983619850e-01°)
1.21338885046497e+00	(-6.36386744336586e-04dB,-7.00538021098785e-01°)
1.21618600064636e+00	(-6.39323955926376e-04dB,-7.02152771324100e-01°)
1.21898959892486e+00	(-6.42274723072477e-04dB,-7.03771242847085e-01°)
1.22179966016487e+00	(-6.45239108322269e-04dB,-7.05393444238689e-01°)
1.22461619926504e+00	(-6.48217174516460e-04dB,-7.07019384089571e-01°)
1.22743923115840e+00	(-6.51208984784265e-04dB,-7.08649071010136e-01°)
1.23026877081238e+00	(-6.54214602544371e-04dB,-7.10282513630589e-01°)
1.23310483322890e+00	(-6.57234091514582e-04dB,-7.11919720600975e-01°)
1.23594743344451e+00	(-6.60267515695426e-04dB,-7.13560700591226e-01°)
1.23879658653036e+00	(-6.63314939393303e-04dB,-7.15205462291205e-01°)
