Record Length,10000,,Source,CH1,CH2
Sample Interval,CH1:0.0000080000000 CH2:0.0000080000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.03999999911,0.64000,0.00
Vertical Scale,CH1:2.00 CH2:1.00,,-0.03999200091,0.64000,0.00
Vertical Offset,CH1:3.92000 CH2:-2.02000,,-0.03998399898,0.64000,0.00
Horizontal Units,s,,-0.03997600079,0.64000,0.00
Horizontal Scale,0.0049999999,,-0.03996799886,0.64000,0.00
Model Number,SDS1102CML+,,-0.03996000066,0.64000,0.00
Serial Number,SDS1MDBQ1R6022,,-0.03995199874,0.64000,0.04000
Software Version,6.01.01.19,,-0.03994400054,0.64000,0.04000
,,,-0.03993599862,0.64000,0.04000
,,,-0.03992800042,0.72000,0.04000
,,,-0.03991999850,0.72000,0.04000
,,,-0.03991200030,0.72000,0.04000
,,,-0.03990399837,0.72000,0.04000
,,,-0.03989600018,0.72000,0.04000
,,,-0.03988799825,0.64000,0.04000
,,,-0.03988000005,0.72000,0.04000
,,,-0.03987199813,0.72000,0.04000
,,,-0.03986399993,0.72000,0.04000
,,,-0.03985600173,0.72000,0.04000
,,,-0.03984799981,0.72000,0.08000
,,,-0.03984000161,0.72000,0.12000
,,,-0.03983199969,0.72000,0.12000
,,,-0.03982400149,0.72000,0.12000
,,,-0.03981599957,0.72000,0.12000
,,,-0.03980800137,0.72000,0.08000
,,,-0.03979999945,0.72000,0.08000
,,,-0.03979200125,0.72000,0.12000
,,,-0.03978399932,0.72000,0.12000
,,,-0.03977600113,0.72000,0.12000
,,,-0.03976799920,0.72000,0.12000
,,,-0.03976000100,0.72000,0.12000
,,,-0.03975199908,0.72000,0.12000
,,,-0.03974400088,0.72000,0.12000
,,,-0.03973599896,0.72000,0.12000
,,,-0.03972800076,0.72000,0.12000
,,,-0.03971999884,0.72000,0.16000
,,,-0.03971200064,0.72000,0.16000
,,,-0.03970399871,0.80000,0.16000
,,,-0.03969600052,0.80000,0.16000
,,,-0.03968799859,0.72000,0.16000
,,,-0.03968000039,0.80000,0.20000
,,,-0.03967199847,0.80000,0.20000
,,,-0.03966400027,0.80000,0.20000
,,,-0.03965599835,0.80000,0.20000
,,,-0.03964800015,0.80000,0.20000
,,,-0.03963999823,0.80000,0.20000
,,,-0.03963200003,0.80000,0.20000
,,,-0.03962399811,0.80000,0.20000
,,,-0.03961599991,0.80000,0.20000
,,,-0.03960800171,0.80000,0.20000
,,,-0.03959999979,0.80000,0.20000
,,,-0.03959200159,0.80000,0.24000
,,,-0.03958399966,0.80000,0.24000
,,,-0.03957600147,0.80000,0.24000
,,,-0.03956799954,0.88000,0.24000
,,,-0.03956000134,0.96000,0.24000
,,,-0.03955199942,0.88000,0.24000
,,,-0.03954400122,0.88000,0.28000
,,,-0.03953599930,0.88000,0.28000
,,,-0.03952800110,0.88000,0.28000
,,,-0.03951999918,0.88000,0.28000
,,,-0.03951200098,0.88000,0.28000
,,,-0.03950399905,0.88000,0.28000
,,,-0.03949600086,0.88000,0.28000
,,,-0.03948799893,0.96000,0.28000
,,,-0.03948000073,0.96000,0.28000
,,,-0.03947199881,0.88000,0.28000
,,,-0.03946400061,0.88000,0.28000
,,,-0.03945599869,0.88000,0.32000
,,,-0.03944800049,0.88000,0.32000
,,,-0.03943999857,0.96000,0.32000
,,,-0.03943200037,0.96000,0.32000
,,,-0.03942399845,0.96000,0.32000
,,,-0.03941600025,0.96000,0.32000
,,,-0.03940799832,0.96000,0.32000
,,,-0.03940000013,0.96000,0.32000
,,,-0.03939199820,0.96000,0.32000
,,,-0.03938400000,0.88000,0.32000
,,,-0.03937599808,0.96000,0.32000
,,,-0.03936799988,0.96000,0.36000
,,,-0.03936000168,0.96000,0.36000
,,,-0.03935199976,0.96000,0.36000
,,,-0.03934400156,0.96000,0.36000
,,,-0.03933599964,0.96000,0.36000
,,,-0.03932800144,0.96000,0.36000
,,,-0.03931999952,0.96000,0.36000
,,,-0.03931200132,0.96000,0.36000
,,,-0.03930399939,0.96000,0.36000
,,,-0.03929600120,0.96000,0.36000
,,,-0.03928799927,0.96000,0.40000
,,,-0.03928000107,0.96000,0.40000
,,,-0.03927199915,0.96000,0.40000
,,,-0.03926400095,0.96000,0.40000
,,,-0.03925599903,0.96000,0.40000
,,,-0.03924800083,0.96000,0.40000
,,,-0.03923999891,0.96000,0.40000
,,,-0.03923200071,0.96000,0.40000
,,,-0.03922399879,0.96000,0.44000
,,,-0.03921600059,0.96000,0.44000
,,,-0.03920799866,0.96000,0.40000
,,,-0.03920000046,1.04000,0.44000
,,,-0.03919199854,1.04000,0.44000
,,,-0.03918400034,0.96000,0.44000
,,,-0.03917599842,0.96000,0.44000
,,,-0.03916800022,0.96000,0.44000
,,,-0.03915999830,1.04000,0.44000
,,,-0.03915200010,1.04000,0.44000
,,,-0.03914399818,1.04000,0.44000
,,,-0.03913599998,1.04000,0.44000
,,,-0.03912799805,1.04000,0.48000
,,,-0.03911999986,1.04000,0.48000
,,,-0.03911200166,1.04000,0.48000
,,,-0.03910399973,1.04000,0.48000
,,,-0.03909600154,1.04000,0.48000
,,,-0.03908799961,1.04000,0.52000
,,,-0.03908000141,1.04000,0.52000
,,,-0.03907199949,1.04000,0.52000
,,,-0.03906400129,1.04000,0.52000
,,,-0.03905599937,1.04000,0.52000
,,,-0.03904800117,1.04000,0.52000
,,,-0.03903999925,1.04000,0.52000
,,,-0.03903200105,1.04000,0.52000
,,,-0.03902399912,1.04000,0.52000
,,,-0.03901600093,1.04000,0.52000
,,,-0.03900799900,1.04000,0.56000
,,,-0.03900000080,1.04000,0.56000
,,,-0.03899199888,1.04000,0.56000
,,,-0.03898400068,1.04000,0.56000
,,,-0.03897599876,1.04000,0.56000
,,,-0.03896800056,1.04000,0.52000
,,,-0.03895999864,1.04000,0.56000
,,,-0.03895200044,1.04000,0.56000
,,,-0.03894399852,1.04000,0.56000
,,,-0.03893600032,1.04000,0.56000
,,,-0.03892799839,1.12000,0.56000
,,,-0.03892000020,1.12000,0.56000
,,,-0.03891199827,1.04000,0.56000
,,,-0.03890400007,1.04000,0.56000
,,,-0.03889599815,1.04000,0.60000
,,,-0.03888799995,1.04000,0.60000
,,,-0.03888000175,1.04000,0.60000
,,,-0.03887199983,1.04000,0.60000
,,,-0.03886400163,1.12000,0.60000
,,,-0.03885599971,1.12000,0.60000
,,,-0.03884800151,1.12000,0.60000
,,,-0.03883999959,1.12000,0.60000
,,,-0.03883200139,1.12000,0.60000
,,,-0.03882399946,1.12000,0.60000
,,,-0.03881600127,1.12000,0.60000
,,,-0.03880799934,1.12000,0.60000
,,,-0.03880000114,1.04000,0.60000
,,,-0.03879199922,1.12000,0.60000
,,,-0.03878400102,1.12000,0.60000
,,,-0.03877599910,1.12000,0.60000
,,,-0.03876800090,1.12000,0.64000
,,,-0.03875999898,1.12000,0.64000
,,,-0.03875200078,1.12000,0.64000
,,,-0.03874399886,1.04000,0.64000
,,,-0.03873600066,1.12000,0.64000
,,,-0.03872799873,1.12000,0.64000
,,,-0.03872000054,1.12000,0.68000
,,,-0.03871199861,1.12000,0.68000
,,,-0.03870400041,1.12000,0.68000
,,,-0.03869599849,1.12000,0.68000
,,,-0.03868800029,1.12000,0.68000
,,,-0.03867999837,1.04000,0.68000
,,,-0.03867200017,1.12000,0.68000
,,,-0.03866399825,1.12000,0.68000
,,,-0.03865600005,1.12000,0.68000
