time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
3.650430960240441e-09	8.463507e-05	-5.471513e-14
7.300861920480883e-09	1.692701e-04	9.478924e-14
1.095129288072132e-08	2.539052e-04	4.485131e-13
1.460172384096177e-08	3.385403e-04	1.006457e-12
1.825215480120221e-08	4.231753e-04	1.768619e-12
2.190258576144265e-08	5.078104e-04	2.735002e-12
2.555301672168308e-08	5.924455e-04	3.905604e-12
4.134486118526358e-08	9.585785e-04	1.388878e-11
5.913181929767562e-08	1.370968e-03	3.629173e-11
7.622792829469350e-08	1.767340e-03	7.634945e-11
1.017692665265727e-07	2.359514e-03	1.806344e-10
1.324007527880655e-07	3.069700e-03	3.978537e-10
1.759166388268526e-07	4.078608e-03	9.309317e-10
2.301663893925369e-07	5.336372e-03	2.084211e-09
3.046316940339787e-07	7.062813e-03	4.822446e-09
3.998121962267818e-07	9.269495e-03	1.088946e-08
5.282130007839546e-07	1.224629e-02	2.504978e-08
6.947671727355754e-07	1.610745e-02	5.686404e-08
9.174980033568552e-07	2.127055e-02	1.304673e-07
1.209147536332455e-06	2.803036e-02	2.972773e-07
1.597930272829265e-06	3.703947e-02	6.818084e-07
2.110836746386817e-06	4.892012e-02	1.559016e-06
2.795417982621636e-06	6.476627e-02	3.581800e-06
3.706011886468188e-06	8.581802e-02	8.227757e-06
4.928961752098841e-06	1.140292e-01	1.898977e-05
6.575566862808665e-06	1.518643e-01	4.395394e-05
8.818374850477240e-06	2.030322e-01	1.024387e-04
1.190548860895151e-05	2.725364e-01	2.406399e-04
1.624177111533597e-05	3.677281e-01	5.731349e-04
2.251086542965707e-05	4.985397e-01	1.394665e-03
3.209065417150323e-05	6.772513e-01	3.462031e-03
4.539717171182694e-05	8.686799e-01	7.582671e-03
5.299454172426811e-05	9.420455e-01	1.059136e-02
5.806425516535651e-05	9.748879e-01	1.293561e-02
6.238925594044812e-05	9.922842e-01	1.510055e-02
6.645445863954995e-05	9.995484e-01	1.724344e-02
7.133381503369218e-05	9.965513e-01	1.991854e-02
7.764761869077905e-05	9.737893e-01	2.347283e-02
8.787666560591747e-05	8.930939e-01	2.918140e-02
1.041333131978888e-04	6.648303e-01	3.723676e-02
1.284421055531904e-04	1.629386e-01	4.593970e-02
1.482096879870227e-04	-2.903974e-01	4.889858e-02
1.650004592189098e-04	-6.318482e-01	4.734942e-02
1.820409033800247e-04	-8.814942e-01	4.254128e-02
1.888341733899886e-04	-9.446476e-01	3.975070e-02
1.938173769265427e-04	-9.761712e-01	3.730359e-02
1.982036022834720e-04	-9.931577e-01	3.498190e-02
2.025115708352015e-04	-9.998527e-01	3.258422e-02
2.070418344306978e-04	-9.961422e-01	2.996494e-02
2.134850150186077e-04	-9.719877e-01	2.614393e-02
2.239194796118201e-04	-8.873761e-01	2.001887e-02
2.404789968968320e-04	-6.500809e-01	1.107262e-02
2.570854920751090e-04	-3.171000e-01	3.825214e-03
2.724235701792336e-04	3.293662e-02	-4.921076e-04
2.860055069139698e-04	3.408672e-01	-1.856907e-03
2.994596544293270e-04	6.129375e-01	-6.305281e-04
3.159880336356683e-04	8.639103e-01	3.514893e-03
3.232196972661376e-04	9.358447e-01	6.196704e-03
3.284895634097999e-04	9.718194e-01	8.583116e-03
3.326736539359988e-04	9.900818e-01	1.065052e-02
3.372970065319902e-04	9.994300e-01	1.307178e-02
3.422769444769848e-04	9.966649e-01	1.579470e-02
3.485534395208816e-04	9.742978e-01	1.933058e-02
3.587231892897024e-04	8.947171e-01	2.502332e-02
3.748921135717260e-04	6.690439e-01	3.308884e-02
3.990986955733770e-04	1.708508e-01	4.187425e-02
4.188908100975834e-04	-2.832547e-01	4.495864e-02
4.356872625789711e-04	-6.261543e-01	4.351869e-02
4.527389298448888e-04	-8.781366e-01	3.880698e-02
4.596173611292368e-04	-9.429656e-01	3.601531e-02
4.646566661881686e-04	-9.753420e-01	3.356190e-02
4.690031656310024e-04	-9.925967e-01	3.127827e-02
4.731533663660261e-04	-9.996740e-01	2.898313e-02
4.779103468777046e-04	-9.964104e-01	2.624824e-02
4.842695225463290e-04	-9.731643e-01	2.249512e-02
4.945706460318645e-04	-8.911044e-01	1.646539e-02
5.109337456280664e-04	-6.596819e-01	7.626618e-03
5.275615404534920e-04	-3.286565e-01	4.106979e-04
