time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.877544596590385e-07	1.179696e-05	-3.327507e-11
3.755089193180770e-07	2.359392e-05	-6.265199e-12
5.632633789771155e-07	3.539088e-05	8.102963e-11
7.510178386361539e-07	4.718784e-05	2.286094e-10
9.387722982951924e-07	5.898480e-05	4.364741e-10
1.126526757954231e-06	7.078176e-05	7.046238e-10
1.314281217613269e-06	8.257872e-05	1.033058e-09
1.728066022569080e-06	1.085776e-04	2.333568e-09
2.292991785927145e-06	1.440729e-04	5.400546e-09
3.028753128182322e-06	1.903022e-04	1.230665e-08
4.026828525729786e-06	2.530131e-04	2.847174e-08
5.350193473017089e-06	3.361626e-04	6.545110e-08
7.152837316063371e-06	4.494260e-04	1.522002e-07
9.592611292790854e-06	6.027215e-04	3.542099e-07
1.297301030568038e-05	8.151182e-04	8.348951e-07
1.769745159362568e-05	1.111963e-03	1.987425e-06
2.450521793417012e-05	1.539708e-03	4.835399e-06
3.462888673916268e-05	2.175795e-03	1.212130e-05
5.059939861413072e-05	3.179249e-03	3.159130e-05
7.448097409873176e-05	4.679760e-03	8.007650e-05
1.123208021310985e-04	7.057265e-03	2.082219e-04
1.805546955193119e-04	1.134434e-02	6.027039e-04
3.170224822957385e-04	1.991779e-02	1.976645e-03
5.899580558485918e-04	3.705967e-02	6.454200e-03
9.637309709424643e-04	6.051600e-02	1.572318e-02
1.532370999997413e-03	9.613302e-02	3.524076e-02
2.284439433962435e-03	1.430432e-01	6.772507e-02
3.163345683962435e-03	1.974528e-01	1.118941e-01
4.042251933962434e-03	2.512604e-01	1.601530e-01
4.921158183962435e-03	3.043019e-01	2.106398e-01
5.800064433962435e-03	3.564157e-01	2.620231e-01
6.678970683962436e-03	4.074428e-01	3.134791e-01
7.557876933962436e-03	4.572276e-01	3.644730e-01
9.315689433962436e-03	5.524678e-01	4.636918e-01
1.107350193396244e-02	6.409756e-01	5.576485e-01
1.283131443396244e-02	7.216724e-01	6.449343e-01
1.458912693396244e-02	7.935749e-01	7.244008e-01
1.634693943396244e-02	8.558068e-01	7.950526e-01
1.810475193396243e-02	9.076098e-01	8.560199e-01
1.986256443396243e-02	9.483526e-01	9.065571e-01
2.162037693396243e-02	9.775388e-01	9.460473e-01
2.337818943396243e-02	9.948125e-01	9.740091e-01
2.513600193396242e-02	9.999635e-01	9.901016e-01
2.689381443396242e-02	9.929288e-01	9.941286e-01
2.865162693396242e-02	9.737943e-01	9.860412e-01
3.040943943396241e-02	9.427930e-01	9.659377e-01
3.216725193396242e-02	9.003028e-01	9.340634e-01
3.392506443396241e-02	8.468414e-01	8.908064e-01
3.568287693396241e-02	7.830604e-01	8.366941e-01
3.744068943396241e-02	7.097369e-01	7.723857e-01
3.919850193396240e-02	6.277646e-01	6.986650e-01
4.095631443396240e-02	5.381423e-01	6.164303e-01
4.271412693396240e-02	4.419622e-01	5.266839e-01
4.447193943396240e-02	3.403963e-01	4.305191e-01
4.622975193396239e-02	2.346822e-01	3.291080e-01
4.798756443396239e-02	1.261084e-01	2.236864e-01
4.974537693396239e-02	1.599776e-02	1.155390e-01
5.150318943396238e-02	-9.430782e-02	5.983583e-03
5.326100193396238e-02	-2.034642e-01	-1.036448e-01
5.501881443396238e-02	-3.101411e-01	-2.120101e-01
5.677662693396238e-02	-4.130386e-01	-3.177918e-01
5.853443943396237e-02	-5.109028e-01	-4.197009e-01
6.029225193396237e-02	-6.025411e-01	-5.164955e-01
6.205006443396237e-02	-6.868368e-01	-6.069961e-01
6.380787693396238e-02	-7.627627e-01	-6.900997e-01
6.556568943396239e-02	-8.293934e-01	-7.647939e-01
6.732350193396240e-02	-8.859172e-01	-8.301681e-01
6.908131443396241e-02	-9.316452e-01	-8.854259e-01
7.083912693396242e-02	-9.660200e-01	-9.298938e-01
7.259693943396243e-02	-9.886228e-01	-9.630300e-01
7.435475193396245e-02	-9.991783e-01	-9.844306e-01
7.611256443396246e-02	-9.975577e-01	-9.938349e-01
7.787037693396247e-02	-9.837808e-01	-9.911283e-01
7.962818943396248e-02	-9.580154e-01	-9.763438e-01
8.138600193396249e-02	-9.205757e-01	-9.496614e-01
8.314381443396250e-02	-8.719178e-01	-9.114064e-01
8.490162693396251e-02	-8.126346e-01	-8.620450e-01
8.665943943396252e-02	-7.434486e-01	-8.021786e-01
8.841725193396253e-02	-6.652029e-01	-7.325368e-01
9.017506443396255e-02	-5.788510e-01	-6.539683e-01
9.193287693396256e-02	-4.854452e-01	-5.674305e-01
9.369068943396257e-02	-3.861237e-01	-4.739780e-01
9.544850193396258e-02	-2.820969e-01	-3.747495e-01
9.720631443396259e-02	-1.746324e-01	-2.709543e-01
9.896412693396260e-02	-6.503988e-02	-1.638573e-01
1.007219394339626e-01	4.534524e-02	-5.476344e-02
1.024797519339626e-01	1.551778e-01	5.499774e-02
1.042375644339626e-01	2.631193e-01	1.640887e-01
1.059953769339626e-01	3.678544e-01	2.711801e-01
1.077531894339627e-01	4.681069e-01	3.749669e-01
1.095110019339627e-01	5.626550e-01	4.741842e-01
1.112688144339627e-01	6.503465e-01	5.676232e-01
1.130266269339627e-01	7.301129e-01	6.541451e-01
1.147844394339627e-01	8.009821e-01	7.326955e-01
1.165422519339627e-01	8.620903e-01	8.023172e-01
1.183000644339627e-01	9.126933e-01	8.621619e-01
1.200578769339627e-01	9.521739e-01	9.115002e-01
1.218156894339627e-01	9.800515e-01	9.497309e-01
1.235735019339628e-01	9.959860e-01	9.763881e-01
1.253313144339628e-01	9.997833e-01	9.911470e-01
1.270891269339628e-01	9.913973e-01	9.938277e-01
1.288469394339628e-01	9.709300e-01	9.843976e-01
1.306047519339628e-01	9.386309e-01	9.629716e-01
1.323625644339628e-01	8.948936e-01	9.298107e-01
1.341203769339628e-01	8.402511e-01	8.853191e-01
1.358781894339628e-01	7.753692e-01	8.300389e-01
1.376360019339628e-01	7.010387e-01	7.646439e-01
1.393938144339628e-01	6.181651e-01	6.899308e-01
1.411516269339629e-01	5.277587e-01	6.068102e-01
1.429094394339629e-01	4.309209e-01	5.162950e-01
1.446672519339629e-01	3.288319e-01	4.194882e-01
1.464250644339629e-01	2.227357e-01	3.175694e-01
1.481828769339629e-01	1.139253e-01	2.117808e-01
1.499406894339629e-01	3.726584e-03	1.034114e-01
1.516985019339629e-01	-1.065176e-01	-6.218229e-03
1.534563144339629e-01	-2.154637e-01	-1.157721e-01
1.552141269339629e-01	-3.217841e-01	-2.239151e-01
1.569719394339630e-01	-4.241833e-01	-3.293295e-01
1.587297519339630e-01	-5.214134e-01	-4.307306e-01
1.604875644339630e-01	-6.122895e-01	-5.268828e-01
1.622453769339630e-01	-6.957042e-01	-6.166145e-01
1.640031894339630e-01	-7.706410e-01	-6.988320e-01
1.657610019339630e-01	-8.361867e-01	-7.725335e-01
1.675188144339630e-01	-8.915426e-01	-8.368208e-01
1.692766269339630e-01	-9.360341e-01	-8.909106e-01
1.710344394339630e-01	-9.691190e-01	-9.341438e-01
1.727922519339631e-01	-9.903942e-01	-9.659934e-01
1.745500644339631e-01	-9.996004e-01	-9.860713e-01
1.763078769339631e-01	-9.966254e-01	-9.941329e-01
1.780656894339631e-01	-9.815055e-01	-9.900800e-01
1.798235019339631e-01	-9.544249e-01	-9.739619e-01
1.815813144339631e-01	-9.157135e-01	-9.459750e-01
1.833391269339631e-01	-8.658434e-01	-9.064604e-01
1.850969394339631e-01	-8.054219e-01	-8.558996e-01
1.868547519339631e-01	-7.351855e-01	-7.949088e-01
1.886125644339632e-01	-6.559901e-01	-7.242312e-01
1.903703769339632e-01	-5.688008e-01	-6.447281e-01
1.921281894339632e-01	-4.746800e-01	-5.573682e-01
1.938860019339632e-01	-3.747748e-01	-4.632163e-01
1.956438144339632e-01	-2.703025e-01	-3.634195e-01
1.974016269339632e-01	-1.625363e-01	-2.591941e-01
1.991594394339632e-01	-5.278943e-02	-1.518102e-01
2.009172519339632e-01	5.760074e-02	-4.257626e-02
2.026750644339632e-01	1.672890e-01	6.717649e-02
2.044328769339633e-01	2.749386e-01	1.761106e-01
2.061906894339633e-01	3.792379e-01	2.828987e-01
2.079485019339633e-01	4.789157e-01	3.862393e-01
2.097063144339633e-01	5.727574e-01	4.848732e-01
2.114641269339633e-01	6.596195e-01	5.775984e-01
2.132219394339633e-01	7.384434e-01	6.632849e-01
2.149797519339633e-01	8.082685e-01	7.408886e-01
2.167375644339633e-01	8.682441e-01	8.094639e-01
2.184953769339633e-01	9.176392e-01	8.681749e-01
2.202531894339634e-01	9.558519e-01	9.163063e-01
2.220110019339634e-01	9.824166e-01	9.532715e-01
2.237688144339634e-01	9.970094e-01	9.786201e-01
2.255266269339634e-01	9.994526e-01	9.920432e-01
2.272844394339634e-01	9.897165e-01	9.933772e-01
2.290422519339634e-01	9.679195e-01	9.826058e-01
2.308000644339634e-01	9.343275e-01	9.598603e-01
2.325578769339634e-01	8.893497e-01	9.254180e-01
2.343156894339634e-01	8.335342e-01	8.796984e-01
2.360735019339635e-01	7.675613e-01	8.232588e-01
2.378313144339635e-01	6.922347e-01	7.567869e-01
2.395891269339635e-01	6.084726e-01	6.810927e-01
2.413469394339635e-01	5.172956e-01	5.970987e-01
2.431047519339635e-01	4.198148e-01	5.058284e-01
2.448625644339635e-01	3.172181e-01	4.083941e-01
2.466203769339635e-01	2.107557e-01	3.059830e-01
2.483781894339635e-01	1.017251e-01	1.998433e-01
2.501360019339635e-01	-8.545149e-03	9.126817e-02
2.518938144339635e-01	-1.187113e-01	-1.841910e-02
2.536516269339634e-01	-2.274308e-01	-1.278819e-01
2.554094394339634e-01	-3.333788e-01	-2.357864e-01
2.571672519339633e-01	-4.352642e-01	-3.408175e-01
2.589250644339633e-01	-5.318455e-01	-4.416954e-01
2.606828769339632e-01	-6.219457e-01	-5.371908e-01
2.624406894339632e-01	-7.044668e-01	-6.261399e-01
2.641985019339632e-01	-7.784032e-01	-7.074590e-01
2.659563144339631e-01	-8.428540e-01	-7.801568e-01
2.677141269339631e-01	-8.970337e-01	-8.433475e-01
2.694719394339630e-01	-9.402821e-01	-8.962613e-01
2.712297519339630e-01	-9.720721e-01	-9.382531e-01
2.729875644339629e-01	-9.920165e-01	-9.688113e-01
2.747453769339629e-01	-9.998720e-01	-9.875636e-01
2.765031894339628e-01	-9.955431e-01	-9.942812e-01
2.782610019339628e-01	-9.790824e-01	-9.888826e-01
2.800188144339628e-01	-9.506906e-01	-9.714333e-01
2.817766269339627e-01	-9.107136e-01	-9.421461e-01
2.835344394339627e-01	-8.596385e-01	-9.013779e-01
2.852922519339626e-01	-7.980879e-01	-8.496254e-01
2.870500644339626e-01	-7.268117e-01	-7.875193e-01
2.888078769339625e-01	-6.466785e-01	-7.158165e-01
2.905656894339625e-01	-5.586649e-01	-6.353907e-01
