Record Length,10000,,Source,CH1,CH2
Sample Interval,CH1:0.0000799999980 CH2:0.0000799999980,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.39999997616,0.80000,-0.20000
Vertical Scale,CH1:5.00 CH2:5.00,,-0.39991998672,1.00000,0.00
Vertical Offset,CH1:9.80000 CH2:-10.10000,,-0.39983999729,1.00000,0.00
Horizontal Units,s,,-0.39975997806,0.80000,0.00
Horizontal Scale,0.0500000007,,-0.39967998862,0.80000,0.00
Model Number,SDS1102CML+,,-0.39959999919,1.00000,0.00
Serial Number,SDS1MDBQ1R6022,,-0.39951997995,1.00000,0.20000
Software Version,6.01.01.19,,-0.39943999052,1.20000,0.20000
,,,-0.39936000109,1.20000,0.20000
,,,-0.39927998185,1.00000,0.20000
,,,-0.39919999242,1.20000,0.40000
,,,-0.39912000299,1.20000,0.40000
,,,-0.39903998375,1.00000,0.40000
,,,-0.39895999432,1.00000,0.40000
,,,-0.39887997508,1.20000,0.40000
,,,-0.39879998565,1.20000,0.40000
,,,-0.39871999621,1.20000,0.40000
,,,-0.39863997698,1.20000,0.40000
,,,-0.39855998755,1.20000,0.40000
,,,-0.39847999811,1.20000,0.60000
,,,-0.39839997888,1.20000,0.60000
,,,-0.39831998944,1.40000,0.60000
,,,-0.39824000001,1.40000,0.60000
,,,-0.39815998077,1.40000,0.60000
,,,-0.39807999134,1.40000,0.60000
,,,-0.39800000191,1.60000,0.60000
,,,-0.39791998267,1.60000,0.60000
,,,-0.39783999324,1.60000,0.60000
,,,-0.39776000381,1.60000,0.80000
,,,-0.39767998457,1.40000,0.80000
,,,-0.39759999514,1.40000,0.80000
,,,-0.39751997590,1.40000,0.80000
,,,-0.39743998647,1.60000,0.80000
,,,-0.39735999703,1.60000,0.60000
,,,-0.39727997780,1.60000,0.80000
,,,-0.39719998837,1.80000,1.00000
,,,-0.39711999893,1.80000,1.00000
,,,-0.39703997970,1.80000,1.00000
,,,-0.39695999026,1.80000,1.00000
,,,-0.39688000083,1.80000,1.00000
,,,-0.39679998159,2.00000,1.00000
,,,-0.39671999216,2.00000,1.00000
,,,-0.39664000273,2.00000,1.20000
,,,-0.39655998349,2.00000,1.20000
,,,-0.39647999406,2.00000,1.00000
,,,-0.39640000463,2.00000,1.20000
,,,-0.39631998539,2.20000,1.20000
,,,-0.39623999596,2.20000,1.40000
,,,-0.39615997672,2.20000,1.60000
,,,-0.39607998729,2.00000,1.60000
,,,-0.39599999785,2.00000,1.40000
,,,-0.39591997862,2.00000,1.20000
