vds	Ix(MOSFET:D)
Step Information: Vgs=0  (Step: 1/11)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-02	6.166300e-11
2.000000000000000e-02	1.093351e-10
3.000000000000000e-02	1.461952e-10
4.000000000000000e-02	1.747000e-10
5.000000000000000e-02	1.967130e-10
6.000000000000000e-02	2.138056e-10
7.000000000000001e-02	2.270421e-10
8.000000000000000e-02	2.372292e-10
9.000000000000000e-02	2.451134e-10
9.999999999999999e-02	2.512180e-10
1.100000000000000e-01	2.560861e-10
1.200000000000000e-01	2.597526e-10
1.300000000000000e-01	2.627366e-10
1.400000000000000e-01	2.649470e-10
1.500000000000000e-01	2.666669e-10
1.600000000000000e-01	2.680078e-10
1.700000000000000e-01	2.690558e-10
1.800000000000000e-01	2.698774e-10
1.900000000000000e-01	2.705241e-10
2.000000000000000e-01	2.710356e-10
2.100000000000000e-01	2.717201e-10
2.200000000000001e-01	2.720464e-10
2.300000000000001e-01	2.723103e-10
2.400000000000001e-01	2.725259e-10
2.500000000000001e-01	2.727043e-10
2.600000000000001e-01	2.731315e-10
2.700000000000001e-01	2.732588e-10
2.800000000000001e-01	2.733690e-10
2.900000000000001e-01	2.734658e-10
3.000000000000001e-01	2.735524e-10
3.100000000000001e-01	2.736311e-10
3.200000000000001e-01	2.737036e-10
3.300000000000001e-01	2.737714e-10
3.400000000000001e-01	2.738355e-10
3.500000000000001e-01	2.738968e-10
3.600000000000002e-01	2.739559e-10
3.700000000000002e-01	2.740133e-10
3.800000000000002e-01	2.740694e-10
3.900000000000002e-01	2.741246e-10
4.000000000000002e-01	2.741789e-10
4.100000000000002e-01	2.742326e-10
4.200000000000002e-01	2.748410e-10
4.300000000000002e-01	2.748938e-10
4.400000000000002e-01	2.749465e-10
4.500000000000002e-01	2.749989e-10
4.600000000000002e-01	2.750511e-10
4.700000000000003e-01	2.751032e-10
4.800000000000003e-01	2.751552e-10
4.900000000000003e-01	2.752071e-10
5.000000000000002e-01	2.758141e-10
5.100000000000002e-01	2.758659e-10
5.200000000000002e-01	2.759177e-10
5.300000000000002e-01	2.759695e-10
5.400000000000003e-01	2.760212e-10
5.500000000000003e-01	2.760729e-10
5.600000000000003e-01	2.761246e-10
5.700000000000003e-01	2.761763e-10
5.800000000000003e-01	2.762280e-10
5.900000000000003e-01	2.762797e-10
6.000000000000003e-01	2.763314e-10
6.100000000000003e-01	2.763831e-10
6.200000000000003e-01	2.764347e-10
6.300000000000003e-01	2.764864e-10
6.400000000000003e-01	2.765381e-10
6.500000000000004e-01	2.765898e-10
6.600000000000004e-01	2.766414e-10
6.700000000000004e-01	2.766931e-10
6.800000000000004e-01	2.767448e-10
6.900000000000004e-01	2.767964e-10
7.000000000000004e-01	2.768481e-10
7.100000000000004e-01	2.768998e-10
7.200000000000004e-01	2.769514e-10
7.300000000000004e-01	2.770031e-10
7.400000000000004e-01	2.770548e-10
7.500000000000004e-01	2.771064e-10
7.600000000000005e-01	2.771581e-10
7.700000000000005e-01	2.772098e-10
7.800000000000005e-01	2.772614e-10
7.900000000000005e-01	2.773131e-10
8.000000000000005e-01	2.773648e-10
8.100000000000005e-01	2.774165e-10
8.200000000000005e-01	2.774681e-10
8.300000000000005e-01	2.775198e-10
8.400000000000005e-01	2.786817e-10
8.500000000000005e-01	2.787333e-10
8.600000000000005e-01	2.787850e-10
8.700000000000006e-01	2.788367e-10
8.800000000000006e-01	2.788883e-10
8.900000000000006e-01	2.789400e-10
9.000000000000006e-01	2.789917e-10
9.100000000000006e-01	2.790433e-10
9.200000000000006e-01	2.790950e-10
9.300000000000006e-01	2.791467e-10
9.400000000000006e-01	2.791983e-10
9.500000000000006e-01	2.792500e-10
9.600000000000006e-01	2.793017e-10
9.700000000000006e-01	2.793533e-10
9.800000000000006e-01	2.794050e-10
9.900000000000007e-01	2.794567e-10
1.000000000000001e+00	2.806186e-10
1.010000000000001e+00	2.806702e-10
1.020000000000001e+00	2.807219e-10
1.030000000000001e+00	2.807736e-10
1.040000000000001e+00	2.808252e-10
1.050000000000001e+00	2.808769e-10
1.060000000000001e+00	2.809286e-10
1.070000000000001e+00	2.809802e-10
1.080000000000001e+00	2.810319e-10
1.090000000000001e+00	2.810835e-10
1.100000000000001e+00	2.811352e-10
1.110000000000001e+00	2.811869e-10
1.120000000000001e+00	2.812386e-10
1.130000000000001e+00	2.812902e-10
1.140000000000001e+00	2.813419e-10
1.150000000000001e+00	2.813935e-10
1.160000000000001e+00	2.814452e-10
1.170000000000001e+00	2.814969e-10
1.180000000000001e+00	2.815486e-10
1.190000000000001e+00	2.816002e-10
1.200000000000001e+00	2.816519e-10
1.210000000000001e+00	2.817035e-10
1.220000000000001e+00	2.817552e-10
1.230000000000001e+00	2.818069e-10
1.240000000000001e+00	2.818586e-10
1.250000000000001e+00	2.819102e-10
1.260000000000001e+00	2.819619e-10
1.270000000000001e+00	2.820136e-10
1.280000000000001e+00	2.820652e-10
1.290000000000001e+00	2.821169e-10
1.300000000000001e+00	2.821686e-10
1.310000000000001e+00	2.822202e-10
1.320000000000001e+00	2.822719e-10
1.330000000000001e+00	2.823236e-10
1.340000000000001e+00	2.823752e-10
1.350000000000001e+00	2.824269e-10
1.360000000000001e+00	2.824786e-10
1.370000000000001e+00	2.825302e-10
1.380000000000001e+00	2.825819e-10
1.390000000000001e+00	2.826336e-10
1.400000000000001e+00	2.826852e-10
1.410000000000001e+00	2.827369e-10
1.420000000000001e+00	2.827886e-10
1.430000000000001e+00	2.828402e-10
1.440000000000001e+00	2.828919e-10
1.450000000000001e+00	2.829436e-10
1.460000000000001e+00	2.829952e-10
1.470000000000001e+00	2.830469e-10
1.480000000000001e+00	2.830986e-10
1.490000000000001e+00	2.831502e-10
1.500000000000001e+00	2.832019e-10
1.510000000000001e+00	2.832536e-10
1.520000000000001e+00	2.833052e-10
1.530000000000001e+00	2.833569e-10
1.540000000000001e+00	2.834085e-10
1.550000000000001e+00	2.834602e-10
1.560000000000001e+00	2.835119e-10
1.570000000000001e+00	2.835636e-10
1.580000000000001e+00	2.836152e-10
1.590000000000001e+00	2.836669e-10
1.600000000000001e+00	2.837185e-10
1.610000000000001e+00	2.837702e-10
1.620000000000001e+00	2.838219e-10
1.630000000000001e+00	2.838736e-10
1.640000000000001e+00	2.839252e-10
1.650000000000001e+00	2.839769e-10
1.660000000000001e+00	2.840286e-10
1.670000000000001e+00	2.863007e-10
1.680000000000001e+00	2.863523e-10
1.690000000000001e+00	2.864040e-10
1.700000000000001e+00	2.864557e-10
1.710000000000001e+00	2.865073e-10
1.720000000000001e+00	2.865590e-10
1.730000000000001e+00	2.866107e-10
1.740000000000001e+00	2.866623e-10
1.750000000000001e+00	2.867140e-10
1.760000000000001e+00	2.867657e-10
1.770000000000001e+00	2.868173e-10
1.780000000000001e+00	2.868690e-10
1.790000000000001e+00	2.869207e-10
1.800000000000001e+00	2.869723e-10
1.810000000000001e+00	2.870240e-10
1.820000000000001e+00	2.870757e-10
1.830000000000001e+00	2.871273e-10
1.840000000000001e+00	2.871790e-10
1.850000000000001e+00	2.872307e-10
1.860000000000001e+00	2.872823e-10
1.870000000000001e+00	2.873340e-10
1.880000000000001e+00	2.873857e-10
1.890000000000001e+00	2.874374e-10
1.900000000000001e+00	2.874890e-10
1.910000000000001e+00	2.875407e-10
1.920000000000001e+00	2.875923e-10
1.930000000000001e+00	2.876440e-10
1.940000000000002e+00	2.876957e-10
1.950000000000002e+00	2.877473e-10
1.960000000000002e+00	2.877990e-10
1.970000000000002e+00	2.878507e-10
1.980000000000002e+00	2.879023e-10
1.990000000000002e+00	2.879540e-10
2.000000000000001e+00	2.902261e-10
2.010000000000001e+00	2.902778e-10
2.020000000000001e+00	2.903295e-10
2.030000000000001e+00	2.903811e-10
2.040000000000000e+00	2.904328e-10
2.050000000000000e+00	2.904844e-10
2.060000000000000e+00	2.905361e-10
2.070000000000000e+00	2.905878e-10
2.080000000000000e+00	2.906395e-10
2.089999999999999e+00	2.906911e-10
2.099999999999999e+00	2.907428e-10
2.109999999999999e+00	2.907944e-10
2.119999999999999e+00	2.908461e-10
2.129999999999999e+00	2.908978e-10
2.139999999999998e+00	2.909495e-10
2.149999999999998e+00	2.910011e-10
2.159999999999998e+00	2.910528e-10
2.169999999999998e+00	2.911044e-10
2.179999999999997e+00	2.911561e-10
2.189999999999997e+00	2.912078e-10
2.199999999999997e+00	2.912595e-10
2.209999999999997e+00	2.913111e-10
2.219999999999997e+00	2.913628e-10
2.229999999999996e+00	2.914144e-10
2.239999999999996e+00	2.914661e-10
2.249999999999996e+00	2.915178e-10
2.259999999999996e+00	2.915695e-10
2.269999999999996e+00	2.916211e-10
2.279999999999995e+00	2.916728e-10
2.289999999999995e+00	2.917245e-10
2.299999999999995e+00	2.917761e-10
2.309999999999995e+00	2.918278e-10
2.319999999999995e+00	2.918794e-10
2.329999999999994e+00	2.919311e-10
2.339999999999994e+00	2.919828e-10
2.349999999999994e+00	2.920345e-10
2.359999999999994e+00	2.920861e-10
2.369999999999993e+00	2.921378e-10
2.379999999999993e+00	2.921894e-10
2.389999999999993e+00	2.922411e-10
2.399999999999993e+00	2.922928e-10
2.409999999999993e+00	2.923445e-10
2.419999999999992e+00	2.923961e-10
2.429999999999992e+00	2.924478e-10
2.439999999999992e+00	2.924994e-10
2.449999999999992e+00	2.925511e-10
2.459999999999992e+00	2.926028e-10
2.469999999999991e+00	2.926545e-10
2.479999999999991e+00	2.927061e-10
2.489999999999991e+00	2.927578e-10
2.499999999999991e+00	2.928094e-10
2.509999999999990e+00	2.928611e-10
2.519999999999990e+00	2.929128e-10
2.529999999999990e+00	2.929645e-10
2.539999999999990e+00	2.930161e-10
2.549999999999990e+00	2.930678e-10
2.559999999999989e+00	2.931194e-10
2.569999999999989e+00	2.931711e-10
2.579999999999989e+00	2.932228e-10
2.589999999999989e+00	2.932745e-10
2.599999999999989e+00	2.933261e-10
2.609999999999988e+00	2.933778e-10
2.619999999999988e+00	2.934294e-10
2.629999999999988e+00	2.934811e-10
2.639999999999988e+00	2.935328e-10
2.649999999999987e+00	2.935845e-10
2.659999999999987e+00	2.936361e-10
2.669999999999987e+00	2.936878e-10
2.679999999999987e+00	2.937394e-10
2.689999999999987e+00	2.937911e-10
2.699999999999986e+00	2.938428e-10
2.709999999999986e+00	2.938945e-10
2.719999999999986e+00	2.939461e-10
2.729999999999986e+00	2.939978e-10
2.739999999999986e+00	2.940495e-10
2.749999999999985e+00	2.941011e-10
2.759999999999985e+00	2.941528e-10
2.769999999999985e+00	2.942044e-10
2.779999999999985e+00	2.942561e-10
2.789999999999984e+00	2.943078e-10
2.799999999999984e+00	2.943595e-10
2.809999999999984e+00	2.944111e-10
2.819999999999984e+00	2.944628e-10
2.829999999999984e+00	2.945144e-10
2.839999999999983e+00	2.945661e-10
2.849999999999983e+00	2.946178e-10
2.859999999999983e+00	2.946695e-10
