time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
3.327798006159689e-08	2.094680e-05	-1.441973e-12
6.655596012319377e-08	4.189361e-05	4.230205e-13
9.983394018479065e-08	6.284042e-05	5.594981e-12
1.331119202463875e-07	8.378723e-05	1.407391e-11
1.663899003079844e-07	1.047340e-04	2.585980e-11
1.996678803695813e-07	1.256808e-04	4.095266e-11
2.329458604311781e-07	1.466277e-04	5.935249e-11
3.026855585779300e-07	1.905253e-04	1.289492e-10
4.017002817227400e-07	2.528500e-04	3.000745e-10
5.258647960269521e-07	3.310053e-04	6.719826e-10
6.965215861887416e-07	4.384252e-04	1.555599e-09
9.152043065369364e-07	5.760749e-04	3.517413e-09
1.210751690957099e-06	7.621070e-04	8.102139e-09
1.595501759543755e-06	1.004288e-03	1.843175e-08
2.112059198401513e-06	1.329434e-03	4.240020e-08
2.792449989969132e-06	1.757705e-03	9.696923e-08
3.706118649088143e-06	2.332812e-03	2.234749e-07
4.923810877439434e-06	3.099285e-03	5.143860e-07
6.570865242673257e-06	4.136016e-03	1.192382e-06
8.801900973434361e-06	5.540324e-03	2.773005e-06
1.187251575919287e-05	7.473079e-03	6.511009e-06
1.614875157902452e-05	1.016465e-02	1.544406e-05
2.225221677220662e-05	1.400619e-02	3.730677e-05
3.122977530976554e-05	1.965630e-02	9.254576e-05
4.511586028787508e-05	2.839434e-02	2.384273e-04
6.666722268459561e-05	4.195134e-02	6.165240e-04
9.910123373986112e-05	6.233878e-02	1.562022e-03
1.557593938919374e-04	9.788568e-02	4.366918e-03
2.690757141960899e-04	1.685610e-01	1.407772e-02
4.957083548043949e-04	3.069849e-01	4.552720e-02
8.085765394989198e-04	4.872677e-01	1.094796e-01
1.251839906410298e-03	7.089230e-01	2.274508e-01
1.790716992646776e-03	9.031994e-01	3.902891e-01
2.019915051777252e-03	9.555249e-01	4.614680e-01
2.189424955984791e-03	9.814976e-01	5.124286e-01
2.359848684386955e-03	9.963564e-01	5.601078e-01
2.594712937054788e-03	9.980510e-01	6.193920e-01
2.806735167903204e-03	9.808726e-01	6.639700e-01
3.150767009423595e-03	9.161405e-01	7.119678e-01
3.700634526398121e-03	7.258230e-01	7.244974e-01
4.537010546490619e-03	2.818998e-01	6.196644e-01
5.221423105448850e-03	-1.445217e-01	4.305941e-01
5.912648606605554e-03	-5.481252e-01	1.617046e-01
6.536479371054315e-03	-8.264603e-01	-1.089632e-01
6.866202768860146e-03	-9.247337e-01	-2.517000e-01
7.072865744881016e-03	-9.662930e-01	-3.364657e-01
7.226960260308744e-03	-9.866828e-01	-3.953413e-01
7.407237985967001e-03	-9.987549e-01	-4.587208e-01
7.606764826868142e-03	-9.971372e-01	-5.215783e-01
7.831972583324085e-03	-9.764524e-01	-5.804909e-01
8.197048284767132e-03	-9.016446e-01	-6.448725e-01
8.778479451180939e-03	-6.871623e-01	-6.682580e-01
9.653408561951328e-03	-2.053801e-01	-5.611397e-01
1.031504595083926e-02	2.080836e-01	-3.763928e-01
1.098631474005672e-02	5.908766e-01	-1.145825e-01
1.164562893268534e-02	8.660017e-01	1.679507e-01
1.191875004763621e-02	9.387780e-01	2.834879e-01
1.210940790832919e-02	9.732726e-01	3.595284e-01
1.226594807887475e-02	9.911438e-01	4.177608e-01
1.242664809800221e-02	9.994869e-01	4.728716e-01
1.260834970794210e-02	9.966121e-01	5.287176e-01
1.284017725160674e-02	9.740613e-01	5.877356e-01
1.321578568473518e-02	8.939614e-01	6.508719e-01
1.381285496675039e-02	6.670807e-01	6.686925e-01
1.469176121675039e-02	1.761325e-01	5.515887e-01
1.534732444268400e-02	-2.334146e-01	3.628199e-01
1.601251399914504e-02	-6.085969e-01	1.004414e-01
1.668599363845851e-02	-8.811139e-01	-1.884913e-01
1.693657158873946e-02	-9.444571e-01	-2.939555e-01
1.712035675436680e-02	-9.760773e-01	-3.666409e-01
1.728175086132078e-02	-9.930949e-01	-4.261338e-01
1.743976660007580e-02	-9.998358e-01	-4.798362e-01
1.760758538440000e-02	-9.961733e-01	-5.308760e-01
1.784455877756880e-02	-9.721231e-01	-5.903643e-01
1.822833899533035e-02	-8.878042e-01	-6.530147e-01
1.883746405137848e-02	-6.511800e-01	-6.671349e-01
1.971637030137848e-02	-1.552802e-01	-5.436051e-01
2.037039062776179e-02	2.529824e-01	-3.513555e-01
2.103242278597821e-02	6.229260e-01	-8.814894e-02
2.163203562296119e-02	8.673752e-01	1.700560e-01
2.190153476456740e-02	9.389411e-01	2.840676e-01
2.209199892176818e-02	9.733533e-01	3.599697e-01
2.224867544404470e-02	9.912018e-01	4.182186e-01
2.240883539561347e-02	9.994901e-01	4.731143e-01
2.259043969373555e-02	9.966092e-01	5.289018e-01
2.282230333344129e-02	9.740479e-01	5.879009e-01
2.319796913703031e-02	8.939188e-01	6.510046e-01
2.379512329466230e-02	6.669700e-01	6.687648e-01
2.467402954466229e-02	1.759863e-01	5.515866e-01
2.532945057191105e-02	-2.334720e-01	3.628208e-01
2.599460827354731e-02	-6.086278e-01	1.004351e-01
2.666818326601397e-02	-8.811607e-01	-1.885447e-01
2.691871732961348e-02	-9.444805e-01	-2.939901e-01
2.710247354347710e-02	-9.760889e-01	-3.666626e-01
2.726388816773218e-02	-9.931026e-01	-4.261608e-01
2.742198541665701e-02	-9.998379e-01	-4.798887e-01
2.758968705452491e-02	-9.961695e-01	-5.308896e-01
2.782670384119944e-02	-9.721065e-01	-5.903823e-01
2.821055290920932e-02	-8.877515e-01	-6.530290e-01
2.881977924749092e-02	-6.510448e-01	-6.671183e-01
2.969868549749092e-02	-1.551043e-01	-5.435352e-01
3.035270109601937e-02	2.531517e-01	-3.512540e-01
3.101472702336455e-02	6.230599e-01	-8.803336e-02
3.161413876573892e-02	8.673974e-01	1.700882e-01
3.188359107162392e-02	9.389462e-01	2.840791e-01
3.207404905959159e-02	9.733559e-01	3.599778e-01
3.223072992494888e-02	9.912036e-01	4.182279e-01
3.239087267345205e-02	9.994901e-01	4.731172e-01
3.257247387174142e-02	9.966091e-01	5.289033e-01
3.280433866126674e-02	9.740475e-01	5.879024e-01
3.318000629234909e-02	8.939174e-01	6.510057e-01
