Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000080000000,,Second,Volt
Vertical Units,CH1:V,,-0.08191999793,-4.80000,
Vertical Scale,CH1:5.00,,-0.08191200346,-4.80000,
Vertical Offset,CH1:0.00,,-0.08190400153,-4.60000,
Horizontal Units,s,,-0.08189599961,-4.80000,
Horizontal Scale,0.0049999999,,-0.08188799769,-4.80000,
Model Number,SDS1102CML+,,-0.08188000321,-4.60000,
Serial Number,SDS1MDBQ1R6022,,-0.08187200129,-4.60000,
Software Version,6.01.01.19,,-0.08186399937,-4.60000,
,,,-0.08185599744,-4.60000,
,,,-0.08184800297,-4.40000,
,,,-0.08184000105,-4.60000,
,,,-0.08183199912,-4.60000,
,,,-0.08182399720,-4.40000,
,,,-0.08181600273,-4.40000,
,,,-0.08180800080,-4.60000,
,,,-0.08179999888,-4.40000,
,,,-0.08179199696,-4.40000,
,,,-0.08178400248,-4.60000,
,,,-0.08177600056,-4.20000,
,,,-0.08176799864,-4.40000,
,,,-0.08175999671,-4.20000,
,,,-0.08175200224,-4.20000,
,,,-0.08174400032,-4.20000,
,,,-0.08173599839,-4.20000,
,,,-0.08172799647,-4.20000,
,,,-0.08172000200,-4.20000,
,,,-0.08171200007,-4.20000,
,,,-0.08170399815,-4.20000,
,,,-0.08169599622,-4.20000,
,,,-0.08168800175,-4.20000,
,,,-0.08167999983,-4.00000,
,,,-0.08167199790,-4.20000,
,,,-0.08166400343,-4.00000,
,,,-0.08165600151,-4.00000,
,,,-0.08164799958,-4.00000,
,,,-0.08163999766,-4.00000,
,,,-0.08163200319,-4.00000,
,,,-0.08162400126,-4.00000,
,,,-0.08161599934,-4.00000,
,,,-0.08160799742,-4.00000,
,,,-0.08160000294,-4.00000,
,,,-0.08159200102,-4.00000,
,,,-0.08158399910,-4.00000,
,,,-0.08157599717,-3.80000,
,,,-0.08156800270,-4.00000,
,,,-0.08156000078,-3.80000,
,,,-0.08155199885,-3.80000,
,,,-0.08154399693,-3.80000,
,,,-0.08153600246,-3.80000,
,,,-0.08152800053,-3.80000,
,,,-0.08151999861,-3.80000,
,,,-0.08151199669,-3.80000,
,,,-0.08150400221,-3.60000,
,,,-0.08149600029,-3.80000,
,,,-0.08148799837,-3.80000,
,,,-0.08147999644,-3.60000,
,,,-0.08147200197,-3.40000,
,,,-0.08146400005,-3.40000,
,,,-0.08145599812,-3.40000,
,,,-0.08144799620,-3.40000,
,,,-0.08144000173,-3.40000,
,,,-0.08143199980,-3.40000,
,,,-0.08142399788,-3.40000,
,,,-0.08141600341,-3.40000,
,,,-0.08140800148,-3.40000,
,,,-0.08139999956,-3.40000,
,,,-0.08139199764,-3.40000,
,,,-0.08138400316,-3.40000,
,,,-0.08137600124,-3.20000,
,,,-0.08136799932,-3.20000,
,,,-0.08135999739,-3.20000,
,,,-0.08135200292,-3.20000,
,,,-0.08134400100,-3.20000,
,,,-0.08133599907,-3.20000,
,,,-0.08132799715,-3.20000,
,,,-0.08132000268,-3.20000,
,,,-0.08131200075,-3.20000,
,,,-0.08130399883,-3.20000,
,,,-0.08129599690,-3.00000,
,,,-0.08128800243,-3.00000,
,,,-0.08128000051,-3.20000,
,,,-0.08127199858,-3.00000,
,,,-0.08126399666,-3.20000,
,,,-0.08125600219,-3.20000,
,,,-0.08124800026,-3.00000,
,,,-0.08123999834,-3.00000,
,,,-0.08123199642,-3.00000,
,,,-0.08122400194,-3.00000,
,,,-0.08121600002,-3.00000,
,,,-0.08120799810,-2.80000,
,,,-0.08119999617,-2.80000,
,,,-0.08119200170,-2.80000,
,,,-0.08118399978,-2.60000,
,,,-0.08117599785,-2.80000,
,,,-0.08116800338,-2.80000,
,,,-0.08116000146,-2.60000,
,,,-0.08115199953,-2.60000,
,,,-0.08114399761,-2.60000,
,,,-0.08113600314,-2.60000,
,,,-0.08112800121,-2.60000,
,,,-0.08111999929,-2.60000,
,,,-0.08111199737,-2.60000,
,,,-0.08110400289,-2.60000,
,,,-0.08109600097,-2.40000,
,,,-0.08108799905,-2.60000,
,,,-0.08107999712,-2.40000,
,,,-0.08107200265,-2.40000,
,,,-0.08106400073,-2.40000,
,,,-0.08105599880,-2.40000,
,,,-0.08104799688,-2.60000,
,,,-0.08104000241,-2.40000,
,,,-0.08103200048,-2.40000,
,,,-0.08102399856,-2.40000,
,,,-0.08101599663,-2.40000,
,,,-0.08100800216,-2.40000,
,,,-0.08100000024,-2.40000,
,,,-0.08099199831,-2.40000,
,,,-0.08098399639,-2.40000,
,,,-0.08097600192,-2.40000,
,,,-0.08096799999,-2.40000,
,,,-0.08095999807,-2.40000,
,,,-0.08095199615,-2.40000,
,,,-0.08094400167,-2.40000,
,,,-0.08093599975,-2.40000,
,,,-0.08092799783,-2.40000,
,,,-0.08092000335,-2.40000,
,,,-0.08091200143,-2.20000,
,,,-0.08090399951,-2.20000,
,,,-0.08089599758,-2.00000,
,,,-0.08088800311,-2.20000,
,,,-0.08088000119,-2.20000,
,,,-0.08087199926,-2.20000,
,,,-0.08086399734,-2.00000,
,,,-0.08085600287,-2.00000,
,,,-0.08084800094,-2.00000,
,,,-0.08083999902,-2.00000,
,,,-0.08083199710,-2.00000,
,,,-0.08082400262,-2.00000,
,,,-0.08081600070,-2.00000,
,,,-0.08080799878,-2.00000,
,,,-0.08079999685,-2.00000,
,,,-0.08079200238,-1.80000,
,,,-0.08078400046,-2.00000,
,,,-0.08077599853,-1.80000,
,,,-0.08076799661,-1.80000,
,,,-0.08076000214,-1.80000,
,,,-0.08075200021,-1.80000,
,,,-0.08074399829,-1.80000,
,,,-0.08073599637,-1.80000,
,,,-0.08072800189,-1.80000,
,,,-0.08071999997,-1.80000,
,,,-0.08071199805,-1.80000,
,,,-0.08070399612,-1.80000,
,,,-0.08069600165,-1.60000,
,,,-0.08068799973,-1.60000,
,,,-0.08067999780,-1.60000,
,,,-0.08067200333,-1.80000,
,,,-0.08066400141,-1.60000,
,,,-0.08065599948,-1.60000,
,,,-0.08064799756,-1.60000,
,,,-0.08064000309,-1.60000,
,,,-0.08063200116,-1.60000,
,,,-0.08062399924,-1.60000,
,,,-0.08061599731,-1.40000,
,,,-0.08060800284,-1.60000,
,,,-0.08060000092,-1.40000,
,,,-0.08059199899,-1.40000,
,,,-0.08058399707,-1.20000,
,,,-0.08057600260,-1.40000,
,,,-0.08056800067,-1.40000,
,,,-0.08055999875,-1.20000,
,,,-0.08055199683,-1.20000,
,,,-0.08054400235,-1.20000,
,,,-0.08053600043,-1.20000,
,,,-0.08052799851,-1.20000,
,,,-0.08051999658,-1.20000,
,,,-0.08051200211,-1.00000,
,,,-0.08050400019,-1.20000,
,,,-0.08049599826,-1.20000,
,,,-0.08048799634,-1.20000,
,,,-0.08048000187,-1.20000,
,,,-0.08047199994,-1.20000,
,,,-0.08046399802,-1.00000,
,,,-0.08045599610,-1.00000,
,,,-0.08044800162,-1.00000,
,,,-0.08043999970,-1.00000,
,,,-0.08043199778,-0.80000,
,,,-0.08042400330,-0.80000,
,,,-0.08041600138,-0.80000,
,,,-0.08040799946,-0.80000,
,,,-0.08039999753,-0.80000,
,,,-0.08039200306,-0.60000,
,,,-0.08038400114,-0.80000,
,,,-0.08037599921,-0.60000,
,,,-0.08036799729,-0.80000,
,,,-0.08036000282,-0.80000,
,,,-0.08035200089,-0.60000,
,,,-0.08034399897,-0.80000,
,,,-0.08033599705,-0.60000,
,,,-0.08032800257,-0.60000,
,,,-0.08032000065,-0.40000,
,,,-0.08031199872,-0.60000,
,,,-0.08030399680,-0.40000,
,,,-0.08029600233,-0.40000,
,,,-0.08028800040,-0.40000,
,,,-0.08027999848,-0.40000,
,,,-0.08027199656,-0.40000,
,,,-0.08026400208,-0.40000,
,,,-0.08025600016,-0.40000,
,,,-0.08024799824,-0.40000,
,,,-0.08023999631,-0.40000,
,,,-0.08023200184,-0.40000,
,,,-0.08022399992,-0.40000,
,,,-0.08021599799,-0.20000,
,,,-0.08020800352,-0.20000,
,,,-0.08020000160,-0.20000,
,,,-0.08019199967,-0.20000,
,,,-0.08018399775,-0.20000,
,,,-0.08017600328,-0.20000,
,,,-0.08016800135,0.00,
,,,-0.08015999943,-0.20000,
,,,-0.08015199751,-0.20000,
,,,-0.08014400303,0.00,
,,,-0.08013600111,0.00,
,,,-0.08012799919,0.00,
,,,-0.08011999726,0.00,
,,,-0.08011200279,0.00,
,,,-0.08010400087,0.00,
,,,-0.08009599894,0.00,
,,,-0.08008799702,0.20000,
,,,-0.08008000255,0.20000,
,,,-0.08007200062,0.20000,
,,,-0.08006399870,0.20000,
,,,-0.08005599678,0.20000,
,,,-0.08004800230,0.20000,
,,,-0.08004000038,0.40000,
,,,-0.08003199846,0.40000,
,,,-0.08002399653,0.40000,
,,,-0.08001600206,0.40000,
,,,-0.08000800014,0.40000,
,,,-0.07999999821,0.40000,
,,,-0.07999199629,0.40000,
,,,-0.07998400182,0.40000,
,,,-0.07997599989,0.40000,
,,,-0.07996799797,0.60000,
,,,-0.07996000350,0.40000,
,,,-0.07995200157,0.60000,
,,,-0.07994399965,0.60000,
,,,-0.07993599772,0.60000,
,,,-0.07992800325,0.60000,
,,,-0.07992000133,0.60000,
,,,-0.07991199940,0.60000,
,,,-0.07990399748,0.60000,
,,,-0.07989600301,0.60000,
,,,-0.07988800108,0.80000,
,,,-0.07987999916,0.60000,
,,,-0.07987199724,0.60000,
,,,-0.07986400276,0.80000,
,,,-0.07985600084,0.80000,
,,,-0.07984799892,0.80000,
,,,-0.07983999699,0.80000,
,,,-0.07983200252,0.80000,
,,,-0.07982400060,0.80000,
,,,-0.07981599867,1.00000,
,,,-0.07980799675,0.80000,
,,,-0.07980000228,1.00000,
,,,-0.07979200035,1.00000,
,,,-0.07978399843,1.00000,
,,,-0.07977599651,1.00000,
,,,-0.07976800203,1.00000,
,,,-0.07976000011,1.20000,
,,,-0.07975199819,1.00000,
,,,-0.07974399626,1.20000,
,,,-0.07973600179,1.20000,
,,,-0.07972799987,1.20000,
,,,-0.07971999794,1.20000,
,,,-0.07971200347,1.20000,
,,,-0.07970400155,1.20000,
,,,-0.07969599962,1.40000,
,,,-0.07968799770,1.40000,
,,,-0.07968000323,1.20000,
,,,-0.07967200130,1.40000,
,,,-0.07966399938,1.40000,
,,,-0.07965599746,1.40000,
,,,-0.07964800298,1.40000,
,,,-0.07964000106,1.40000,
,,,-0.07963199914,1.40000,
,,,-0.07962399721,1.40000,
,,,-0.07961600274,1.40000,
,,,-0.07960800081,1.40000,
,,,-0.07959999889,1.40000,
,,,-0.07959199697,1.60000,
,,,-0.07958400249,1.60000,
,,,-0.07957600057,1.60000,
,,,-0.07956799865,1.60000,
,,,-0.07955999672,1.60000,
,,,-0.07955200225,1.60000,
,,,-0.07954400033,1.60000,
,,,-0.07953599840,1.60000,
,,,-0.07952799648,1.60000,
,,,-0.07952000201,1.60000,
,,,-0.07951200008,1.60000,
,,,-0.07950399816,1.80000,
,,,-0.07949599624,1.80000,
,,,-0.07948800176,1.80000,
,,,-0.07947999984,1.80000,
,,,-0.07947199792,1.80000,
,,,-0.07946400344,1.80000,
,,,-0.07945600152,2.00000,
,,,-0.07944799960,2.00000,
,,,-0.07943999767,2.00000,
,,,-0.07943200320,2.00000,
,,,-0.07942400128,2.00000,
,,,-0.07941599935,2.00000,
,,,-0.07940799743,2.00000,
,,,-0.07940000296,2.00000,
,,,-0.07939200103,2.00000,
,,,-0.07938399911,2.20000,
,,,-0.07937599719,2.20000,
,,,-0.07936800271,2.20000,
,,,-0.07936000079,2.20000,
,,,-0.07935199887,2.20000,
,,,-0.07934399694,2.20000,
,,,-0.07933600247,2.20000,
,,,-0.07932800055,2.20000,
,,,-0.07931999862,2.20000,
,,,-0.07931199670,2.40000,
,,,-0.07930400223,2.20000,
,,,-0.07929600030,2.20000,
,,,-0.07928799838,2.40000,
,,,-0.07927999645,2.40000,
,,,-0.07927200198,2.40000,
,,,-0.07926400006,2.40000,
,,,-0.07925599813,2.40000,
,,,-0.07924799621,2.40000,
,,,-0.07924000174,2.40000,
,,,-0.07923199981,2.40000,
,,,-0.07922399789,2.60000,
,,,-0.07921600342,2.40000,
,,,-0.07920800149,2.60000,
,,,-0.07919999957,2.60000,
,,,-0.07919199765,2.60000,
,,,-0.07918400317,2.60000,
,,,-0.07917600125,2.60000,
,,,-0.07916799933,2.60000,
,,,-0.07915999740,2.60000,
,,,-0.07915200293,2.60000,
,,,-0.07914400101,2.60000,
,,,-0.07913599908,2.60000,
,,,-0.07912799716,2.60000,
,,,-0.07912000269,2.60000,
,,,-0.07911200076,2.80000,
,,,-0.07910399884,2.80000,
,,,-0.07909599692,2.80000,
,,,-0.07908800244,2.80000,
,,,-0.07908000052,2.80000,
,,,-0.07907199860,2.80000,
,,,-0.07906399667,2.80000,
,,,-0.07905600220,2.80000,
,,,-0.07904800028,2.80000,
,,,-0.07903999835,2.80000,
,,,-0.07903199643,3.00000,
,,,-0.07902400196,2.80000,
,,,-0.07901600003,2.80000,
,,,-0.07900799811,3.00000,
,,,-0.07899999619,2.80000,
,,,-0.07899200171,3.00000,
,,,-0.07898399979,3.00000,
,,,-0.07897599787,3.00000,
,,,-0.07896800339,3.00000,
,,,-0.07896000147,3.00000,
,,,-0.07895199955,3.20000,
,,,-0.07894399762,3.20000,
,,,-0.07893600315,3.00000,
,,,-0.07892800122,3.40000,
,,,-0.07891999930,3.20000,
,,,-0.07891199738,3.20000,
,,,-0.07890400290,3.20000,
,,,-0.07889600098,3.40000,
,,,-0.07888799906,3.40000,
,,,-0.07887999713,3.40000,
,,,-0.07887200266,3.40000,
,,,-0.07886400074,3.40000,
,,,-0.07885599881,3.40000,
,,,-0.07884799689,3.40000,
,,,-0.07884000242,3.40000,
,,,-0.07883200049,3.60000,
,,,-0.07882399857,3.60000,
,,,-0.07881599665,3.40000,
,,,-0.07880800217,3.60000,
,,,-0.07880000025,3.60000,
,,,-0.07879199833,3.60000,
,,,-0.07878399640,3.60000,
,,,-0.07877600193,3.60000,
,,,-0.07876800001,3.60000,
,,,-0.07875999808,3.60000,
,,,-0.07875199616,3.80000,
,,,-0.07874400169,3.60000,
,,,-0.07873599976,3.60000,
,,,-0.07872799784,3.60000,
,,,-0.07872000337,3.80000,
,,,-0.07871200144,3.60000,
,,,-0.07870399952,3.80000,
,,,-0.07869599760,3.80000,
,,,-0.07868800312,3.60000,
,,,-0.07868000120,3.80000,
,,,-0.07867199928,3.80000,
,,,-0.07866399735,3.80000,
,,,-0.07865600288,3.80000,
,,,-0.07864800096,4.00000,
,,,-0.07863999903,3.80000,
,,,-0.07863199711,4.00000,
,,,-0.07862400264,4.20000,
,,,-0.07861600071,4.20000,
,,,-0.07860799879,4.20000,
,,,-0.07859999686,4.00000,
,,,-0.07859200239,4.20000,
,,,-0.07858400047,4.20000,
,,,-0.07857599854,4.20000,
,,,-0.07856799662,4.20000,
,,,-0.07856000215,4.20000,
,,,-0.07855200022,4.20000,
,,,-0.07854399830,4.20000,
,,,-0.07853599638,4.20000,
,,,-0.07852800190,4.20000,
,,,-0.07851999998,4.20000,
,,,-0.07851199806,4.40000,
