Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000080000000,,Second,Volt
Vertical Units,CH1:V,,-0.08191999793,4.72000,
Vertical Scale,CH1:2.00,,-0.08191200346,4.72000,
Vertical Offset,CH1:0.00,,-0.08190400153,4.72000,
Horizontal Units,s,,-0.08189599961,4.72000,
Horizontal Scale,0.0049999999,,-0.08188799769,4.72000,
Model Number,SDS1102CML+,,-0.08188000321,4.72000,
Serial Number,SDS1MDBQ1R6001,,-0.08187200129,4.72000,
Software Version,6.01.01.19,,-0.08186399937,4.72000,
,,,-0.08185599744,4.64000,
,,,-0.08184800297,4.72000,
,,,-0.08184000105,4.72000,
,,,-0.08183199912,4.72000,
,,,-0.08182399720,4.72000,
,,,-0.08181600273,4.72000,
,,,-0.08180800080,4.72000,
,,,-0.08179999888,4.72000,
,,,-0.08179199696,4.64000,
,,,-0.08178400248,4.72000,
,,,-0.08177600056,4.64000,
,,,-0.08176799864,4.72000,
,,,-0.08175999671,4.72000,
,,,-0.08175200224,4.64000,
,,,-0.08174400032,4.64000,
,,,-0.08173599839,4.72000,
,,,-0.08172799647,4.72000,
,,,-0.08172000200,4.64000,
,,,-0.08171200007,4.72000,
,,,-0.08170399815,4.64000,
,,,-0.08169599622,4.72000,
,,,-0.08168800175,4.72000,
,,,-0.08167999983,4.72000,
,,,-0.08167199790,4.72000,
,,,-0.08166400343,4.72000,
,,,-0.08165600151,4.64000,
,,,-0.08164799958,4.72000,
,,,-0.08163999766,4.72000,
,,,-0.08163200319,4.64000,
,,,-0.08162400126,4.72000,
,,,-0.08161599934,4.64000,
,,,-0.08160799742,4.72000,
,,,-0.08160000294,4.64000,
,,,-0.08159200102,4.72000,
,,,-0.08158399910,4.72000,
,,,-0.08157599717,4.64000,
,,,-0.08156800270,4.72000,
,,,-0.08156000078,4.64000,
,,,-0.08155199885,4.72000,
,,,-0.08154399693,4.72000,
,,,-0.08153600246,4.64000,
,,,-0.08152800053,4.72000,
,,,-0.08151999861,4.64000,
,,,-0.08151199669,4.72000,
,,,-0.08150400221,4.64000,
,,,-0.08149600029,4.72000,
,,,-0.08148799837,4.72000,
,,,-0.08147999644,4.72000,
,,,-0.08147200197,4.72000,
,,,-0.08146400005,4.72000,
,,,-0.08145599812,4.72000,
,,,-0.08144799620,4.64000,
,,,-0.08144000173,4.72000,
,,,-0.08143199980,4.72000,
,,,-0.08142399788,4.72000,
,,,-0.08141600341,4.64000,
,,,-0.08140800148,4.72000,
,,,-0.08139999956,4.72000,
,,,-0.08139199764,4.72000,
,,,-0.08138400316,4.64000,
,,,-0.08137600124,4.64000,
,,,-0.08136799932,4.72000,
,,,-0.08135999739,4.64000,
,,,-0.08135200292,4.72000,
,,,-0.08134400100,4.72000,
,,,-0.08133599907,4.64000,
,,,-0.08132799715,4.64000,
,,,-0.08132000268,4.72000,
,,,-0.08131200075,4.64000,
,,,-0.08130399883,4.72000,
,,,-0.08129599690,4.72000,
,,,-0.08128800243,4.64000,
,,,-0.08128000051,4.64000,
,,,-0.08127199858,4.72000,
,,,-0.08126399666,4.64000,
,,,-0.08125600219,4.64000,
,,,-0.08124800026,4.64000,
,,,-0.08123999834,4.64000,
,,,-0.08123199642,4.64000,
,,,-0.08122400194,4.64000,
,,,-0.08121600002,4.72000,
,,,-0.08120799810,4.64000,
,,,-0.08119999617,4.72000,
,,,-0.08119200170,4.64000,
,,,-0.08118399978,4.64000,
,,,-0.08117599785,4.72000,
,,,-0.08116800338,4.64000,
,,,-0.08116000146,4.72000,
,,,-0.08115199953,4.72000,
,,,-0.08114399761,4.64000,
,,,-0.08113600314,4.72000,
,,,-0.08112800121,4.64000,
,,,-0.08111999929,4.72000,
,,,-0.08111199737,4.64000,
,,,-0.08110400289,4.72000,
,,,-0.08109600097,4.72000,
,,,-0.08108799905,4.64000,
,,,-0.08107999712,4.64000,
,,,-0.08107200265,4.72000,
,,,-0.08106400073,4.64000,
,,,-0.08105599880,4.72000,
,,,-0.08104799688,4.64000,
,,,-0.08104000241,4.72000,
,,,-0.08103200048,4.64000,
,,,-0.08102399856,4.64000,
,,,-0.08101599663,4.64000,
,,,-0.08100800216,4.72000,
,,,-0.08100000024,4.72000,
,,,-0.08099199831,4.64000,
,,,-0.08098399639,4.72000,
,,,-0.08097600192,4.64000,
,,,-0.08096799999,4.64000,
,,,-0.08095999807,4.64000,
,,,-0.08095199615,4.64000,
,,,-0.08094400167,4.64000,
,,,-0.08093599975,4.64000,
,,,-0.08092799783,4.72000,
,,,-0.08092000335,4.72000,
,,,-0.08091200143,4.72000,
,,,-0.08090399951,4.56000,
,,,-0.08089599758,4.64000,
,,,-0.08088800311,4.64000,
,,,-0.08088000119,4.72000,
,,,-0.08087199926,4.72000,
,,,-0.08086399734,4.72000,
,,,-0.08085600287,4.64000,
,,,-0.08084800094,4.64000,
,,,-0.08083999902,4.64000,
,,,-0.08083199710,4.72000,
,,,-0.08082400262,4.72000,
,,,-0.08081600070,4.64000,
,,,-0.08080799878,4.72000,
,,,-0.08079999685,4.64000,
,,,-0.08079200238,4.72000,
,,,-0.08078400046,4.72000,
,,,-0.08077599853,4.72000,
,,,-0.08076799661,4.64000,
,,,-0.08076000214,4.64000,
,,,-0.08075200021,4.72000,
,,,-0.08074399829,4.64000,
,,,-0.08073599637,4.64000,
,,,-0.08072800189,4.64000,
,,,-0.08071999997,4.72000,
,,,-0.08071199805,4.64000,
,,,-0.08070399612,4.72000,
,,,-0.08069600165,4.72000,
,,,-0.08068799973,4.72000,
,,,-0.08067999780,4.64000,
,,,-0.08067200333,4.56000,
,,,-0.08066400141,4.64000,
,,,-0.08065599948,4.72000,
,,,-0.08064799756,4.64000,
,,,-0.08064000309,4.56000,
,,,-0.08063200116,4.72000,
,,,-0.08062399924,4.64000,
,,,-0.08061599731,4.64000,
,,,-0.08060800284,4.64000,
,,,-0.08060000092,4.64000,
,,,-0.08059199899,4.64000,
,,,-0.08058399707,4.64000,
,,,-0.08057600260,4.72000,
,,,-0.08056800067,4.64000,
,,,-0.08055999875,4.64000,
,,,-0.08055199683,4.64000,
,,,-0.08054400235,4.56000,
,,,-0.08053600043,4.64000,
,,,-0.08052799851,4.64000,
,,,-0.08051999658,4.64000,
,,,-0.08051200211,4.64000,
,,,-0.08050400019,4.64000,
,,,-0.08049599826,4.64000,
,,,-0.08048799634,4.64000,
,,,-0.08048000187,4.64000,
,,,-0.08047199994,4.56000,
,,,-0.08046399802,4.64000,
,,,-0.08045599610,4.64000,
,,,-0.08044800162,4.64000,
,,,-0.08043999970,4.64000,
,,,-0.08043199778,4.64000,
,,,-0.08042400330,4.72000,
,,,-0.08041600138,4.64000,
,,,-0.08040799946,4.64000,
,,,-0.08039999753,4.64000,
,,,-0.08039200306,4.64000,
,,,-0.08038400114,4.64000,
,,,-0.08037599921,4.64000,
,,,-0.08036799729,4.72000,
,,,-0.08036000282,4.64000,
,,,-0.08035200089,4.64000,
,,,-0.08034399897,4.56000,
,,,-0.08033599705,4.64000,
,,,-0.08032800257,4.64000,
,,,-0.08032000065,4.64000,
,,,-0.08031199872,4.64000,
,,,-0.08030399680,4.72000,
,,,-0.08029600233,4.64000,
,,,-0.08028800040,4.64000,
,,,-0.08027999848,4.64000,
,,,-0.08027199656,4.72000,
,,,-0.08026400208,4.72000,
,,,-0.08025600016,4.64000,
,,,-0.08024799824,4.64000,
,,,-0.08023999631,4.64000,
,,,-0.08023200184,4.64000,
,,,-0.08022399992,4.64000,
,,,-0.08021599799,4.64000,
,,,-0.08020800352,4.56000,
,,,-0.08020000160,4.72000,
,,,-0.08019199967,4.64000,
,,,-0.08018399775,4.72000,
,,,-0.08017600328,4.64000,
,,,-0.08016800135,4.64000,
,,,-0.08015999943,4.64000,
,,,-0.08015199751,4.64000,
,,,-0.08014400303,4.64000,
,,,-0.08013600111,4.56000,
,,,-0.08012799919,4.64000,
,,,-0.08011999726,4.56000,
,,,-0.08011200279,4.64000,
,,,-0.08010400087,4.64000,
,,,-0.08009599894,4.64000,
,,,-0.08008799702,4.64000,
,,,-0.08008000255,4.56000,
,,,-0.08007200062,4.72000,
,,,-0.08006399870,4.64000,
,,,-0.08005599678,4.64000,
,,,-0.08004800230,4.56000,
,,,-0.08004000038,4.64000,
,,,-0.08003199846,4.64000,
,,,-0.08002399653,4.64000,
,,,-0.08001600206,4.64000,
,,,-0.08000800014,4.64000,
,,,-0.07999999821,4.64000,
,,,-0.07999199629,4.64000,
,,,-0.07998400182,4.64000,
,,,-0.07997599989,4.64000,
,,,-0.07996799797,4.64000,
,,,-0.07996000350,4.64000,
,,,-0.07995200157,4.64000,
,,,-0.07994399965,4.64000,
,,,-0.07993599772,4.64000,
,,,-0.07992800325,4.64000,
,,,-0.07992000133,4.64000,
,,,-0.07991199940,4.56000,
,,,-0.07990399748,4.64000,
,,,-0.07989600301,4.64000,
,,,-0.07988800108,4.64000,
,,,-0.07987999916,4.64000,
,,,-0.07987199724,4.56000,
,,,-0.07986400276,4.64000,
,,,-0.07985600084,4.64000,
,,,-0.07984799892,4.64000,
,,,-0.07983999699,4.64000,
,,,-0.07983200252,4.64000,
,,,-0.07982400060,4.56000,
,,,-0.07981599867,4.64000,
,,,-0.07980799675,4.64000,
,,,-0.07980000228,4.64000,
,,,-0.07979200035,4.64000,
,,,-0.07978399843,4.64000,
,,,-0.07977599651,4.64000,
,,,-0.07976800203,4.64000,
,,,-0.07976000011,4.64000,
,,,-0.07975199819,4.64000,
,,,-0.07974399626,4.64000,
,,,-0.07973600179,4.64000,
,,,-0.07972799987,4.56000,
,,,-0.07971999794,4.64000,
,,,-0.07971200347,4.64000,
,,,-0.07970400155,4.64000,
,,,-0.07969599962,4.64000,
,,,-0.07968799770,4.64000,
,,,-0.07968000323,4.56000,
,,,-0.07967200130,4.64000,
,,,-0.07966399938,4.64000,
,,,-0.07965599746,4.64000,
,,,-0.07964800298,4.64000,
